Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
Not Applicable: Standalone Property,10024,WEST 88 STREET,Manhattan,Multifamily Housing,1983,Whole Building,No
Not Applicable: Standalone Property,10024,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1906,Whole Building,Yes
Not Applicable: Standalone Property,10024,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1988,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1968,Whole Building,Yes
Not Applicable: Standalone Property,10024,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1940,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1968,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10024,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1911,Whole Building,No
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1931,Whole Building,No
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 92 STREET,Manhattan,Multifamily Housing,1951,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 92 STREET,Manhattan,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1967,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1920,Whole Building,No
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1917,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1971,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 96 STREET,Manhattan,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 96 STREET,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1912,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1992,Whole Building,Yes
Not Applicable: Standalone Property,10025,CENTRAL PARK WEST,Manhattan,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1911,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1914,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 80 STREET,Manhattan,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 80 STREET,Manhattan,Multifamily Housing,1988,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 80 STREET,Manhattan,Multifamily Housing,1900,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 81 STREET,Manhattan,Multifamily Housing,1905,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 81 STREET,Manhattan,Multifamily Housing,1889,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 82 STREET,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Non-Refrigerated Warehouse,1922,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 82 STREET,Manhattan,Multifamily Housing,1900,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1931,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1948,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1900,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1928,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1916,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1923,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1912,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1998,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1914,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1914,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1930,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 87 STREET,Manhattan,Multifamily Housing,1914,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 87 STREET,Manhattan,Multifamily Housing,1914,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 87 STREET,Manhattan,Multifamily Housing,1914,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1918,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1975,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 87 STREET,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1985,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1986,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 89 STREET,Manhattan,Multifamily Housing,1923,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1990,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1974,Whole Building,Yes
Not Applicable: Standalone Property,10024,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1970,Whole Building,Yes
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1969,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 91 STREET,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10025,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1940,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1973,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10025,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1956,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 94 STREET,Manhattan,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 94 STREET,Manhattan,Multifamily Housing,1936,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 94 STREET,Manhattan,Multifamily Housing,1957,Whole Building,Yes
Not Applicable: Standalone Property,10025,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1967,Whole Building,No
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1966,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10026,WEST 95 STREET,Manhattan,Multifamily Housing,2001,Whole Building,Yes
Not Applicable: Standalone Property,10025,COLUMBUS AVENUE,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 96 STREET,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 96 STREET,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1971,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Hotel,1903,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1916,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1985,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1987,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,2000,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1912,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 81 STREET,Manhattan,Multifamily Housing,1911,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 81 STREET,Manhattan,Multifamily Housing,1912,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1913,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1910,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 83 STREET,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 83 STREET,Manhattan,Multifamily Housing,1987,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1900,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 84 STREET,Manhattan,Multifamily Housing,1932,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1945,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1903,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1903,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1912,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1907,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1987,Whole Building,No
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,2010,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1913,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1900,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1984,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1920,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 88 STREET,Manhattan,Multifamily Housing,1910,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 88 STREET,Manhattan,Multifamily Housing,1923,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 89 STREET,Manhattan,Multifamily Housing,1963,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1915,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1916,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 89 STREET,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 88 STREET,Manhattan,Multifamily Housing,1914,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1910,Whole Building,No
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1915,Whole Building,No
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10024,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1912,Whole Building,No
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1920,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1985,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1920,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 90 STREET,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10024,BROADWAY,Manhattan,Multifamily Housing,1917,Whole Building,No
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Multifamily Housing,1920,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Multifamily Housing,1959,Whole Building,Yes
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 92 STREET,Manhattan,Multifamily Housing,1934,Whole Building,No
Not Applicable: Standalone Property,10025,AMSTERDAM AVENUE,Manhattan,Multifamily Housing,1934,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 93 STREET,Manhattan,Multifamily Housing,1916,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1917,Whole Building,Yes
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Multifamily Housing,2010,Whole Building,Yes
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1900,Whole Building,No
Not Applicable: Standalone Property,10025,BROADWAY,Manhattan,Hotel,1916,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1948,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Multifamily Housing,1986,Whole Building,Yes
Not Applicable: Standalone Property,10023,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1951,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 79 STREET,Manhattan,Hotel,1906,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1936,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1938,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1911,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 83 STREET,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1929,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1907,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 84 STREET,Manhattan,Multifamily Housing,1950,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 85 STREET,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1909,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1920,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1917,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1924,Whole Building,No
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1906,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1950,Whole Building,No
Not Applicable: Standalone Property,10028,WEST END AVENUE,Manhattan,Multifamily Housing,2010,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1939,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1923,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Senior Care Community,1926,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1926,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1926,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 86 STREET,Manhattan,Multifamily Housing,1925,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1924,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST 87 STREET,Manhattan,Multifamily Housing,1911,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Senior Care Community,1940,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1938,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1915,Whole Building,No
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1930,Whole Building,No
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1923,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 88 STREET,Manhattan,Multifamily Housing,1985,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1989,Whole Building,No
Not Applicable: Standalone Property,10024,WEST 89 STREET,Manhattan,Multifamily Housing,1900,Whole Building,No
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1922,Whole Building,Yes
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10024,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1913,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST 92 STREET,Manhattan,Multifamily Housing,1920,Whole Building,No
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1901,Whole Building,No
Not Applicable: Standalone Property,10024,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1911,Whole Building,Yes
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1933,Whole Building,Yes
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1904,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1925,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1927,Whole Building,Yes
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1910,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1928,Whole Building,Yes
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1929,Whole Building,No
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1900,Whole Building,No
Not Applicable: Standalone Property,10025,WEST END AVENUE,Manhattan,Multifamily Housing,1951,Whole Building,No
Not Applicable: Standalone Property,10025,WEST 95 STREET,Manhattan,Hotel,1910,Whole Building,No
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1989,Whole Building,Yes
Not Applicable: Standalone Property,10025,RIVERSIDE DRIVE,Manhattan,Multifamily Housing,1931,Whole Building,Yes
Not Applicable: Standalone Property,10036,AVENUE OF THE AMER,Manhattan,Office,1971,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 42 STREET,Manhattan,Office,1927,Whole Building,Yes
Not Applicable: Standalone Property,10110,5 AVENUE,Manhattan,Office,1954,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 43 STREET,Manhattan,Office,1900,Whole Building,No
Not Applicable: Standalone Property,10036,AVENUE OF THE AMER,Manhattan,Office,1954,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 43 STREET,Manhattan,Hotel,1898,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 43 STREET,Manhattan,Office,1919,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 43 STREET,Manhattan,Other,1962,Whole Building,Yes
Not Applicable: Standalone Property,10036,WEST 44 STREET,Manhattan,Office,1890,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 44 STREET,Manhattan,Hotel,1900,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 44 STREET,Manhattan,Office,1922,Whole Building,Yes
Not Applicable: Standalone Property,10036,5 AVENUE,Manhattan,Financial Office,1896,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 44 STREET,Manhattan,Office,1917,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1910,Whole Building,Yes
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Multifamily Housing,1914,Whole Building,No
Not Applicable: Standalone Property,10001,AVENUE OF THE AMER,Manhattan,Office,1911,Whole Building,Yes
Not Applicable: Standalone Property,10036,5 AVENUE,Manhattan,Office,1956,Whole Building,Yes
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1922,Whole Building,Yes
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1923,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1930,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1913,Whole Building,No
Not Applicable: Standalone Property,10036,WEST 45 STREET,Manhattan,Office,1913,Whole Building,No
Not Applicable: Standalone Property,10036,5 AVENUE,Manhattan,Office,1989,Whole Building,No
Not Applicable: Standalone Property,10176,WEST 46 STREET,Manhattan,Office,1929,Whole Building,No
Not Applicable: Standalone Property,10036,AVENUE OF THE AMER,Manhattan,Office,1974,Whole Building,No
