Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1988,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1897,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1987,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1924,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1911,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1910,Common areas only,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1927,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1974,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1987,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1897,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1964,Whole Building,No
Columbia University (morningside),10027,RIVERSIDE DRIVE,Manhattan,Residence Hall/Dormitory,1932,Whole Building,Yes
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1897,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1930,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1964,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,College/University,1950,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Worship Facility,1950,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,Yes
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Residence Hall/Dormitory,1950,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,Yes
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Residence Hall/Dormitory,1950,Whole Building,Yes
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,No
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,don't know
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,Office,1950,Whole Building,Yes
Columbia University (morningside),10027,WEST 120 STREET,Manhattan,College/University,2010,Whole Building,don't know
Columbia University (morningside),10027,CLAREMONT AVENUE,Manhattan,Multifamily Housing,1909,Whole Building,don't know
Columbia University (morningside),10027,CLAREMONT AVENUE,Manhattan,Residence Hall/Dormitory,1920,Whole Building,No
Columbia University (morningside),10027,RIVERSIDE DRIVE,Manhattan,Residence Hall/Dormitory,1924,Whole Building,No
Columbia University (morningside),10027,RIVERSIDE DRIVE,Manhattan,Residence Hall/Dormitory,1924,Whole Building,don't know
Columbia University Medical Center,10032,No street name,No borough,College/University,1914,Whole Building,No
Columbia University Medical Center,10032,ST NICHOLAS AVENUE,Manhattan,Office,2004,Whole Building,No
Columbia University Medical Center,10032,No street name,No borough,Office,1998,Whole Building,No
Columbia University Medical Center,10032,No street name,No borough,Office,1995,Whole Building,Yes
Columbia University Medical Center,10032,FT WASHINGTON AVENUE,Manhattan,Office,1929,Whole Building,don't know
Columbia University Medical Center,10032,WEST 168 STREET,Manhattan,Office,1914,Whole Building,don't know
Columbia University Medical Center,10032,No street name,No borough,Office,1928,Whole Building,No
Columbia University Medical Center,10032,HAVEN AVENUE,Manhattan,Office,1976,Whole Building,No
Columbia University Medical Center,10032,HAVEN AVENUE,Manhattan,Office,1929,Whole Building,don't know
Columbia University Medical Center,10032,HAVEN AVENUE,Manhattan,Office,1973,Whole Building,Yes
Columbia University Medical Center,10032,HAVEN AVENUE,Manhattan,Office,1973,Whole Building,No
Columbia University Medical Center,10032,HAVEN AVENUE,Manhattan,Office,1970,Whole Building,No
Pace University NYC Campus,10038,No street name,No borough,College/University,1905,Another configuration,No
Pace University NYC Campus,10038,No street name,No borough,Residence Hall/Dormitory,1952,Whole Building,don't know
Pace University NYC Campus,10038,PARK ROW,Manhattan,College/University,1905,Whole Building,No
Pace University NYC Campus,10178,NASSAU STREET,Manhattan,College/University,1964,Whole Building,Yes
Memorial Sloan Kettering Cancer Center 1,10065,No street name,No borough,Other,1940,Whole Building,No
Memorial Sloan Kettering Cancer Center 1,10065,2 AVENUE,Manhattan,Urgent Care/Clinic/Other Outpatient,2009,Whole Building,No
Memorial Sloan Kettering Cancer Center 1,10065,EAST 68 STREET,Manhattan,Medical Office,2003,Whole Building,No
Memorial Sloan Kettering Cancer Center 1,10065,EAST 66 STREET,Manhattan,Laboratory,1987,Whole Building,No
Memorial Sloan Kettering Cancer Center 1,10065,EAST 68 STREET,Manhattan,Laboratory,2006,Whole Building,No
New York University: Washington Square,100122500,No street name,No borough,College/University,1833,Whole Building,No
